day,collateral_liquidated_usd,number_of_liquidations
2021-01-08T00:00:00+00:00,188235.55931106876,10
2021-01-07T00:00:00+00:00,3284.26156181555,2
2021-01-06T00:00:00+00:00,11492.67487902924,1
2021-01-05T00:00:00+00:00,21447.913188443203,2
2021-01-04T00:00:00+00:00,218303.39001038214,11
2021-01-03T00:00:00+00:00,174920.26201816727,14
2021-01-02T00:00:00+00:00,8477.274389044172,2
2021-01-01T00:00:00+00:00,395.3675027382125,1
2020-12-31T00:00:00+00:00,3849.8955181694523,1
2020-12-29T00:00:00+00:00,5313.344969717989,3
2020-12-28T00:00:00+00:00,6542.656301823812,9
2020-12-27T00:00:00+00:00,5624.452625222889,3
2020-12-26T00:00:00+00:00,41187.80787919331,6
2020-12-25T00:00:00+00:00,327.3912986758187,1
2020-12-24T00:00:00+00:00,29650.4661132474,25
2020-12-23T00:00:00+00:00,2553097.400701062,61
2020-12-22T00:00:00+00:00,88870.10462776083,10
2020-12-21T00:00:00+00:00,123565.74665647928,9
2020-12-20T00:00:00+00:00,3354.5477927808925,1
2020-12-18T00:00:00+00:00,1513.1648883951145,2
2020-12-16T00:00:00+00:00,85.99178830196439,1
2020-12-13T00:00:00+00:00,130.55573523804082,1
2020-12-11T00:00:00+00:00,69205.52343546366,6
2020-12-09T00:00:00+00:00,194535.98722790333,14
2020-12-08T00:00:00+00:00,67056.24444440658,8
2020-12-06T00:00:00+00:00,249.77125261917197,1
2020-12-05T00:00:00+00:00,10383.886371265655,2
2020-12-04T00:00:00+00:00,46532.8408247606,10
2020-12-02T00:00:00+00:00,562.6454771238302,1
2020-12-01T00:00:00+00:00,105918.34002690774,8
2020-11-30T00:00:00+00:00,528.5675485968228,1
2020-11-29T00:00:00+00:00,332.1927547320419,2
2020-11-28T00:00:00+00:00,1405.1023446408167,8
2020-11-27T00:00:00+00:00,11903.029467859382,16
2020-11-26T00:00:00+00:00,3195060.93491253,96
2020-11-25T00:00:00+00:00,97899.95052697348,10
