day,project,outstanding_usd_value
2021-02-23T00:00:00+00:00,Aave,6136269800.50377
2020-12-04T00:00:00+00:00,MakerDAO,2379038107.7603693
2021-03-10T00:00:00+00:00,Aave,6917496636.0227375
2021-01-28T00:00:00+00:00,MakerDAO,4566819564.237139
2021-01-07T00:00:00+00:00,Aave,3265449424.1094766
2021-04-10T00:00:00+00:00,Compound,13929884141.776157
2020-12-23T00:00:00+00:00,MakerDAO,2372966641.6103506
2020-12-10T00:00:00+00:00,MakerDAO,2246640804.5744867
2021-05-14T00:00:00+00:00,MakerDAO,12787841962.904345
2020-12-20T00:00:00+00:00,Aave,2073936029.474018
2021-02-09T00:00:00+00:00,Aave,6580810289.63676
2021-03-09T00:00:00+00:00,Compound,9629101025.951277
2020-12-24T00:00:00+00:00,Aave,1921438773.918074
2021-04-27T00:00:00+00:00,MakerDAO,8813412884.651548
2021-05-07T00:00:00+00:00,Aave,16349606139.601925
2021-03-08T00:00:00+00:00,Compound,9150990831.949663
2021-05-09T00:00:00+00:00,Compound,16308514635.818178
2021-04-16T00:00:00+00:00,Compound,15528396411.711393
2021-03-25T00:00:00+00:00,MakerDAO,5507546444.473202
2021-03-27T00:00:00+00:00,MakerDAO,5805842725.183251
2021-04-02T00:00:00+00:00,Aave,8122819398.4531
2021-03-14T00:00:00+00:00,Aave,7052046838.281892
2020-12-09T00:00:00+00:00,Compound,3241261265.9808984
2020-11-28T00:00:00+00:00,MakerDAO,2072933709.7098575
2021-04-22T00:00:00+00:00,Aave,8340623249.432874
2020-12-28T00:00:00+00:00,Compound,3890417109.116337
2021-01-10T00:00:00+00:00,MakerDAO,4372453644.951378
2021-02-24T00:00:00+00:00,Aave,6271847451.29022
2021-04-14T00:00:00+00:00,Compound,15513020167.781513
2021-01-13T00:00:00+00:00,MakerDAO,3714442753.573441
2021-01-24T00:00:00+00:00,Aave,4156579798.226785
2021-03-07T00:00:00+00:00,Aave,6714698222.47268
2020-12-26T00:00:00+00:00,Aave,2007507698.1445227
2021-03-01T00:00:00+00:00,MakerDAO,5836286382.633772
2021-04-22T00:00:00+00:00,MakerDAO,8480680821.584111
2021-01-20T00:00:00+00:00,Compound,5240841516.959365
2020-12-12T00:00:00+00:00,Aave,1816598560.7235868
2021-01-09T00:00:00+00:00,MakerDAO,4175396318.7258344
2021-02-14T00:00:00+00:00,MakerDAO,6501487008.90224
2021-05-05T00:00:00+00:00,Aave,15274785064.362207
2021-03-09T00:00:00+00:00,Aave,6944674574.181917
2021-01-16T00:00:00+00:00,Compound,5049225349.729621
2021-04-11T00:00:00+00:00,Aave,7825961155.794438
2021-01-08T00:00:00+00:00,Compound,4383074972.849742
2021-05-06T00:00:00+00:00,Aave,16341034556.666246
2021-03-21T00:00:00+00:00,Compound,10760095982.218794
2021-03-17T00:00:00+00:00,Aave,6884316346.6808195
2021-05-14T00:00:00+00:00,Compound,15599520943.294907
2020-12-23T00:00:00+00:00,Aave,2006746867.1640232
2020-12-19T00:00:00+00:00,MakerDAO,2533918271.1402297
2021-04-15T00:00:00+00:00,Compound,15340395113.416075
2021-04-09T00:00:00+00:00,Aave,7858089893.88401
2021-02-14T00:00:00+00:00,Aave,6813494080.938394
2021-05-11T00:00:00+00:00,MakerDAO,12880403064.109617
2021-03-13T00:00:00+00:00,MakerDAO,6690568515.355583
2021-01-05T00:00:00+00:00,Compound,3912870051.913443
2020-12-10T00:00:00+00:00,Compound,3272637238.5996666
2020-11-29T00:00:00+00:00,Compound,3089647836.6198726
2021-02-04T00:00:00+00:00,Compound,6201716156.133311
2021-02-20T00:00:00+00:00,MakerDAO,7191298185.919347
2021-03-14T00:00:00+00:00,MakerDAO,7150031369.017604
2021-02-16T00:00:00+00:00,Compound,8504557781.804422
2021-03-03T00:00:00+00:00,Compound,9141124476.62416
2021-02-24T00:00:00+00:00,Compound,8332402127.730468
2021-03-28T00:00:00+00:00,MakerDAO,5882888843.548823
2020-12-24T00:00:00+00:00,MakerDAO,2302710218.6204123
2020-12-11T00:00:00+00:00,Aave,1769619379.8095028
2021-02-26T00:00:00+00:00,Compound,8049394142.542909
2021-01-10T00:00:00+00:00,Compound,4523280217.565008
2021-05-03T00:00:00+00:00,Aave,15281795190.338575
2021-04-04T00:00:00+00:00,MakerDAO,7093584649.743064
2021-04-21T00:00:00+00:00,Aave,8233417418.456455
2021-04-03T00:00:00+00:00,Aave,8119975627.889947
2021-02-11T00:00:00+00:00,MakerDAO,6318362951.620686
