day,cumulative_volume
2020-05-11T00:00:00+00:00,200743632.18248647
2020-05-12T00:00:00+00:00,201170307.0022395
2020-05-13T00:00:00+00:00,202975318.99052808
2020-05-14T00:00:00+00:00,204233104.70344868
2020-05-15T00:00:00+00:00,205748368.61100718
2020-05-16T00:00:00+00:00,206293811.34318295
2020-05-17T00:00:00+00:00,206893713.6000202
2020-05-18T00:00:00+00:00,207950459.96414506
2020-05-19T00:00:00+00:00,208263111.94466597
2020-05-20T00:00:00+00:00,208929370.3903955
2020-05-21T00:00:00+00:00,210393071.57015336
2020-05-22T00:00:00+00:00,211576088.86766422
2020-05-23T00:00:00+00:00,212171967.2973046
2020-05-24T00:00:00+00:00,212965668.475067
2020-05-25T00:00:00+00:00,214081915.20642522
2020-05-26T00:00:00+00:00,215672869.63901493
2020-05-27T00:00:00+00:00,216287764.97920966
2020-05-28T00:00:00+00:00,216895246.28592354
2020-05-29T00:00:00+00:00,217874637.16615802
2020-05-30T00:00:00+00:00,219805504.816986
2020-05-31T00:00:00+00:00,220842026.93051437
2020-06-01T00:00:00+00:00,221779544.55350992
2020-06-02T00:00:00+00:00,225828306.30616215
2020-06-03T00:00:00+00:00,226605602.30092883
2020-06-04T00:00:00+00:00,227959721.78720385
2020-06-05T00:00:00+00:00,228897528.33320728
2020-06-06T00:00:00+00:00,229857573.05353242
2020-06-07T00:00:00+00:00,231167675.47271177
2020-06-08T00:00:00+00:00,231920445.31337866
2020-06-09T00:00:00+00:00,232907716.50689664
2020-06-10T00:00:00+00:00,234893916.07371062
2020-06-11T00:00:00+00:00,238786912.69387594
2020-06-12T00:00:00+00:00,240843824.6629569
2020-06-13T00:00:00+00:00,241638409.8297633
2020-06-14T00:00:00+00:00,245121198.06011716
2020-06-15T00:00:00+00:00,257790462.1808397
2020-06-16T00:00:00+00:00,279237000.2050064
2020-06-17T00:00:00+00:00,297849251.097719
2020-06-18T00:00:00+00:00,317315871.23300964
2020-06-19T00:00:00+00:00,362970959.2336087
2020-06-20T00:00:00+00:00,410656188.3495256
2020-06-21T00:00:00+00:00,465843869.47898054
2020-06-22T00:00:00+00:00,482002607.052155
2020-06-23T00:00:00+00:00,495517786.1554437
2020-06-24T00:00:00+00:00,506664778.83019835
2020-06-25T00:00:00+00:00,525505281.8493944
2020-06-26T00:00:00+00:00,545401842.2997352
2020-06-27T00:00:00+00:00,563596004.6080132
2020-06-28T00:00:00+00:00,569138946.2360296
2020-06-29T00:00:00+00:00,574778837.4742935
2020-06-30T00:00:00+00:00,580584014.1265899
2020-07-01T00:00:00+00:00,592109496.9362259
2020-07-02T00:00:00+00:00,614116469.5714662
2020-07-03T00:00:00+00:00,630409770.3213817
2020-07-04T00:00:00+00:00,639877584.4628762
2020-07-05T00:00:00+00:00,646685217.0666977
2020-07-06T00:00:00+00:00,655781257.2823827
2020-07-07T00:00:00+00:00,663239996.3048024
2020-07-08T00:00:00+00:00,682703469.9237702
2020-07-09T00:00:00+00:00,693305586.0644317
2020-07-10T00:00:00+00:00,701079126.0192369
2020-07-11T00:00:00+00:00,707829378.2932422
2020-07-12T00:00:00+00:00,711751721.933834
2020-07-13T00:00:00+00:00,719001024.0261643
2020-07-14T00:00:00+00:00,725486664.5448793
2020-07-15T00:00:00+00:00,730860174.143288
2020-07-16T00:00:00+00:00,738079089.5269449
2020-07-17T00:00:00+00:00,745155741.1623832
2020-07-18T00:00:00+00:00,772489283.3203539
2020-07-19T00:00:00+00:00,859135404.3000492
2020-07-20T00:00:00+00:00,926135235.6547803
2020-07-21T00:00:00+00:00,963654751.2199432
