date_trunc,project,usd_volume
2021-04-03T00:00:00+00:00,0x Native,160360330.6655732866695428
2021-04-04T00:00:00+00:00,0x Native,81514065.82886377083564117738
2021-04-05T00:00:00+00:00,0x Native,74764340.0196579242457
2021-04-06T00:00:00+00:00,0x Native,95891329.08520152200547880608
2021-04-07T00:00:00+00:00,0x Native,129711288.5525492999621338
2021-04-08T00:00:00+00:00,0x Native,65429918.814517929684596
2021-04-09T00:00:00+00:00,0x Native,72227161.38938662607522633704
2021-04-10T00:00:00+00:00,0x Native,105707416.1155436776849
2021-04-11T00:00:00+00:00,0x Native,58284676.50485456866171213787
2021-04-12T00:00:00+00:00,0x Native,96864447.76197300536940278144
2021-04-13T00:00:00+00:00,0x Native,121286082.19407461599511058658
2021-04-14T00:00:00+00:00,0x Native,201060313.227873916451376
2021-04-15T00:00:00+00:00,0x Native,157356557.7997495160686002
2021-04-16T00:00:00+00:00,0x Native,135764476.9370870335689
2021-04-17T00:00:00+00:00,0x Native,118961820.03659723626872
2021-04-18T00:00:00+00:00,0x Native,224154646.63702628295069586196
2021-04-19T00:00:00+00:00,0x Native,143839497.4129653491816812384
2021-04-20T00:00:00+00:00,0x Native,216526363.773776581421
2021-04-21T00:00:00+00:00,0x Native,187988648.09669994380825855225
2021-04-22T00:00:00+00:00,0x Native,305027499.34805437316487696224
2021-04-23T00:00:00+00:00,0x Native,297157250.720696077625292
2021-04-24T00:00:00+00:00,0x Native,152822172.3079732817317101848
2021-04-25T00:00:00+00:00,0x Native,176559010.20441796330505376785
2021-04-26T00:00:00+00:00,0x Native,240371907.6604292374796
2021-04-27T00:00:00+00:00,0x Native,200048994.06351749172925897280
2021-04-28T00:00:00+00:00,0x Native,257271044.38288396101860155016192
2021-04-29T00:00:00+00:00,0x Native,177779308.40876862492002
2021-04-30T00:00:00+00:00,0x Native,188816261.483932543331017108283616
2021-05-01T00:00:00+00:00,0x Native,263539302.17060916598562426837796
2021-05-02T00:00:00+00:00,0x Native,176233565.883030402005788686858938
2021-04-06T00:00:00+00:00,1inch LP,5523.0864657726
2021-04-07T00:00:00+00:00,1inch LP,12474.2185946914
2021-04-12T00:00:00+00:00,1inch LP,3040.051
2021-04-13T00:00:00+00:00,1inch LP,858.313658906
2021-04-14T00:00:00+00:00,1inch LP,24233.1113729966
2021-04-15T00:00:00+00:00,1inch LP,17453.5706828584
2021-04-18T00:00:00+00:00,1inch LP,4290.9403104372
2021-04-19T00:00:00+00:00,1inch LP,3750.211203827
2021-04-20T00:00:00+00:00,1inch LP,10367.0439968462
2021-04-21T00:00:00+00:00,1inch LP,20037.5363146089
2021-04-22T00:00:00+00:00,1inch LP,40869.2057404678
2021-04-23T00:00:00+00:00,1inch LP,49597.9492304943
2021-04-24T00:00:00+00:00,1inch LP,12616.8282475663
2021-04-25T00:00:00+00:00,1inch LP,30747.7427964668
2021-04-26T00:00:00+00:00,1inch LP,14472.7686555408
2021-04-27T00:00:00+00:00,1inch LP,8136.9825896072
2021-04-28T00:00:00+00:00,1inch LP,17945.0391247382
2021-04-29T00:00:00+00:00,1inch LP,19320.2351660618
2021-04-30T00:00:00+00:00,1inch LP,24239.1218823496
2021-05-01T00:00:00+00:00,1inch LP,21116.3072632636
2021-05-02T00:00:00+00:00,1inch LP,94625.2121672166
2021-04-03T00:00:00+00:00,Balancer,69055490.79589663931809
2021-04-04T00:00:00+00:00,Balancer,37998450.43680913700078
2021-04-05T00:00:00+00:00,Balancer,41641321.6948495497207
2021-04-06T00:00:00+00:00,Balancer,61066886.876635125192610
2021-04-07T00:00:00+00:00,Balancer,86384666.0269579044653827
2021-04-08T00:00:00+00:00,Balancer,38280051.71521323669231
2021-04-09T00:00:00+00:00,Balancer,40045432.90506736965812
2021-04-10T00:00:00+00:00,Balancer,57294930.8770064297534
2021-04-11T00:00:00+00:00,Balancer,53263168.551868121681873
2021-04-12T00:00:00+00:00,Balancer,55287232.87749727352026
2021-04-13T00:00:00+00:00,Balancer,74816834.19737945171897466358
2021-04-14T00:00:00+00:00,Balancer,114374165.7024865025876714
2021-04-15T00:00:00+00:00,Balancer,135073300.949181592552966
2021-04-16T00:00:00+00:00,Balancer,73914031.91361931693701964
2021-04-17T00:00:00+00:00,Balancer,46932992.23829066166406
2021-04-18T00:00:00+00:00,Balancer,124558290.078536482726231
2021-04-19T00:00:00+00:00,Balancer,73162809.38369929092915
2021-04-20T00:00:00+00:00,Balancer,92433263.75194198288590
2021-04-21T00:00:00+00:00,Balancer,95127188.85080037651749
2021-04-22T00:00:00+00:00,Balancer,143652557.836436779343633
2021-04-23T00:00:00+00:00,Balancer,135759262.8705434795555207486261
2021-04-24T00:00:00+00:00,Balancer,62068136.06295157805644674072
2021-04-25T00:00:00+00:00,Balancer,70915428.127806148565668
2021-04-26T00:00:00+00:00,Balancer,108261474.5510923551916009
2021-04-27T00:00:00+00:00,Balancer,94495577.82766727646180395
2021-04-28T00:00:00+00:00,Balancer,141144544.67698993830967
2021-04-29T00:00:00+00:00,Balancer,87195184.855072893240008
2021-04-30T00:00:00+00:00,Balancer,82301195.12165069224575316276
2021-05-01T00:00:00+00:00,Balancer,112948951.91463913378948376
2021-05-02T00:00:00+00:00,Balancer,59934096.41616266763043043
2021-04-03T00:00:00+00:00,Bancor Network,74161671.42562379714190437046
2021-04-04T00:00:00+00:00,Bancor Network,42417891.2292893342699297
2021-04-05T00:00:00+00:00,Bancor Network,66726949.0738106507759
2021-04-06T00:00:00+00:00,Bancor Network,100703299.2530629190487
2021-04-07T00:00:00+00:00,Bancor Network,113831309.78266445389132
2021-04-08T00:00:00+00:00,Bancor Network,72351521.16334971171758
2021-04-09T00:00:00+00:00,Bancor Network,80428470.71642277535337842
2021-04-10T00:00:00+00:00,Bancor Network,77383049.09285853664324
2021-04-11T00:00:00+00:00,Bancor Network,64601127.0465691097453
2021-04-12T00:00:00+00:00,Bancor Network,105100234.7012368125535
2021-04-13T00:00:00+00:00,Bancor Network,88830247.03429391234869
2021-04-14T00:00:00+00:00,Bancor Network,138690553.19949559483566
2021-04-15T00:00:00+00:00,Bancor Network,173702703.7355729463472056
2021-04-16T00:00:00+00:00,Bancor Network,110883722.6334766250236
2021-04-17T00:00:00+00:00,Bancor Network,71126754.034927758052536
2021-04-18T00:00:00+00:00,Bancor Network,189993706.8644658415273
2021-04-19T00:00:00+00:00,Bancor Network,123169944.8013575151193
2021-04-20T00:00:00+00:00,Bancor Network,139233622.91828650873174
2021-04-21T00:00:00+00:00,Bancor Network,97486304.1247339432786
2021-04-22T00:00:00+00:00,Bancor Network,149648735.73204217747598
2021-04-23T00:00:00+00:00,Bancor Network,173522133.5965156168679
2021-04-24T00:00:00+00:00,Bancor Network,74643628.42929091940669467413
2021-04-25T00:00:00+00:00,Bancor Network,94308617.63505511943218699059
2021-04-26T00:00:00+00:00,Bancor Network,131802401.03297759715628106664
2021-04-27T00:00:00+00:00,Bancor Network,114828481.14671534383427310706
2021-04-28T00:00:00+00:00,Bancor Network,119423479.51629360729195095323
2021-04-29T00:00:00+00:00,Bancor Network,99984873.7075464228637842
2021-04-30T00:00:00+00:00,Bancor Network,90743445.74191899818265106258
2021-05-01T00:00:00+00:00,Bancor Network,98109756.39849685529736275957
2021-05-02T00:00:00+00:00,Bancor Network,56448767.02282612013309680667
2021-04-03T00:00:00+00:00,Curve,280696845.3937424542184
2021-04-04T00:00:00+00:00,Curve,168248256.807000433718652
2021-04-05T00:00:00+00:00,Curve,174568462.983174343881
2021-04-06T00:00:00+00:00,Curve,77629760.87034060475865
2021-04-07T00:00:00+00:00,Curve,92410944.519825757432
2021-04-08T00:00:00+00:00,Curve,258899741.415796621840
2021-04-09T00:00:00+00:00,Curve,259226728.949412550458628
2021-04-10T00:00:00+00:00,Curve,241398124.330362842430
2021-04-11T00:00:00+00:00,Curve,102847665.054908558499
2021-04-12T00:00:00+00:00,Curve,203980690.83440282565546
2021-04-13T00:00:00+00:00,Curve,539150421.60276677599594
2021-04-14T00:00:00+00:00,Curve,287243433.971170524457
2021-04-15T00:00:00+00:00,Curve,111909335.27697557994432
2021-04-16T00:00:00+00:00,Curve,332429022.95460585783880
2021-04-17T00:00:00+00:00,Curve,100443108.6231553314273
2021-04-18T00:00:00+00:00,Curve,296481234.310541110978
2021-04-19T00:00:00+00:00,Curve,935275134.214448458562
2021-04-20T00:00:00+00:00,Curve,239158029.868400617212
2021-04-21T00:00:00+00:00,Curve,152827928.940594947781
2021-04-22T00:00:00+00:00,Curve,157938844.603410158787504
2021-04-23T00:00:00+00:00,Curve,167641534.978152306357291
2021-04-24T00:00:00+00:00,Curve,128391351.87531234684289
2021-04-25T00:00:00+00:00,Curve,88441653.955482577250752
2021-04-26T00:00:00+00:00,Curve,232549097.78288359949410
2021-04-27T00:00:00+00:00,Curve,231458179.16383082640154
2021-04-28T00:00:00+00:00,Curve,188633269.182877558601011
2021-04-29T00:00:00+00:00,Curve,123890167.35269973218072
2021-04-30T00:00:00+00:00,Curve,111483365.782138000977
2021-05-01T00:00:00+00:00,Curve,146634000.82413628727131
2021-05-02T00:00:00+00:00,Curve,74252409.45859478303888
2021-04-05T00:00:00+00:00,DDEX,188930.72240070056
2021-04-15T00:00:00+00:00,DDEX,8206.4857315
2021-04-16T00:00:00+00:00,DDEX,7810.1894380236
2021-04-17T00:00:00+00:00,DDEX,
2021-04-18T00:00:00+00:00,DDEX,10343.37825380518
2021-04-19T00:00:00+00:00,DDEX,27158.4129925500
2021-04-20T00:00:00+00:00,DDEX,166006.37006195258
2021-04-21T00:00:00+00:00,DDEX,85658.947150000
