Rank,Project,Number of Traders
1,Uniswap,171195
2,1inch,31472
3,Sushiswap,10869
4,0x API,9940
5,Balancer,5712
6,Matcha,2998
7,Tokenlon,1369
8,0x Native,1039
9,Bancor Network,635
10,Curve,619
11,Kyber,444
12,dodo,427
13,Synthetix,206
14,dYdX,171
15,LINKSWAP,94
16,Mooniswap,39
17,airswap,39
18,Futureswap,19
19,1inch LP,6
