date,total_users
2019-02-17T00:00:00+00:00,2319
2019-02-18T00:00:00+00:00,2332
2019-02-19T00:00:00+00:00,2347
2019-02-20T00:00:00+00:00,2361
2019-02-21T00:00:00+00:00,2374
2019-02-22T00:00:00+00:00,2384
2019-02-23T00:00:00+00:00,2398
2019-02-24T00:00:00+00:00,2410
2019-02-25T00:00:00+00:00,2421
2019-02-26T00:00:00+00:00,2431
2019-02-27T00:00:00+00:00,2450
2019-02-28T00:00:00+00:00,2465
2019-03-01T00:00:00+00:00,2474
2019-03-02T00:00:00+00:00,2491
2019-03-03T00:00:00+00:00,2506
2019-03-04T00:00:00+00:00,2519
2019-03-05T00:00:00+00:00,2530
2019-03-06T00:00:00+00:00,2551
2019-03-07T00:00:00+00:00,2560
2019-03-08T00:00:00+00:00,2573
2019-03-09T00:00:00+00:00,2583
2019-03-10T00:00:00+00:00,2590
2019-03-11T00:00:00+00:00,2607
2019-03-12T00:00:00+00:00,2617
2019-03-13T00:00:00+00:00,2633
2019-03-14T00:00:00+00:00,2644
2019-03-15T00:00:00+00:00,2655
2019-03-16T00:00:00+00:00,2669
2019-03-17T00:00:00+00:00,2683
2019-03-18T00:00:00+00:00,2694
2019-03-19T00:00:00+00:00,2719
2019-03-20T00:00:00+00:00,2731
2019-03-21T00:00:00+00:00,2749
2019-03-22T00:00:00+00:00,2757
2019-03-23T00:00:00+00:00,2785
2019-03-24T00:00:00+00:00,2800
2019-03-25T00:00:00+00:00,2813
2019-03-26T00:00:00+00:00,2822
2019-03-27T00:00:00+00:00,2844
2019-03-28T00:00:00+00:00,2861
2019-03-29T00:00:00+00:00,2876
2019-03-30T00:00:00+00:00,2901
2019-03-31T00:00:00+00:00,2920
2019-04-01T00:00:00+00:00,2936
2019-04-02T00:00:00+00:00,2952
2019-04-03T00:00:00+00:00,2974
2019-04-04T00:00:00+00:00,2987
2019-04-05T00:00:00+00:00,2999
2019-04-06T00:00:00+00:00,3015
2019-04-07T00:00:00+00:00,3033
2019-04-08T00:00:00+00:00,3055
2019-04-09T00:00:00+00:00,3080
2019-04-10T00:00:00+00:00,3100
