hour,troves
2021-04-12T01:00:00+00:00,708
2021-04-12T02:00:00+00:00,710
2021-04-12T03:00:00+00:00,712
2021-04-12T04:00:00+00:00,714
2021-04-12T05:00:00+00:00,716
2021-04-12T06:00:00+00:00,717
2021-04-12T07:00:00+00:00,718
2021-04-12T09:00:00+00:00,718
2021-04-12T12:00:00+00:00,718
2021-04-12T13:00:00+00:00,720
2021-04-12T14:00:00+00:00,721
2021-04-12T15:00:00+00:00,721
2021-04-12T16:00:00+00:00,721
2021-04-12T17:00:00+00:00,720
2021-04-12T19:00:00+00:00,722
2021-04-12T20:00:00+00:00,724
2021-04-12T21:00:00+00:00,725
2021-04-12T22:00:00+00:00,726
2021-04-12T23:00:00+00:00,728
2021-04-13T00:00:00+00:00,729
2021-04-13T01:00:00+00:00,732
2021-04-13T02:00:00+00:00,734
2021-04-13T03:00:00+00:00,736
2021-04-13T04:00:00+00:00,741
2021-04-13T05:00:00+00:00,743
2021-04-13T06:00:00+00:00,744
2021-04-13T07:00:00+00:00,745
2021-04-13T08:00:00+00:00,746
2021-04-13T09:00:00+00:00,747
2021-04-13T10:00:00+00:00,748
2021-04-13T11:00:00+00:00,751
2021-04-13T14:00:00+00:00,756
2021-04-13T15:00:00+00:00,760
2021-04-13T16:00:00+00:00,761
2021-04-13T17:00:00+00:00,763
2021-04-13T18:00:00+00:00,764
2021-04-13T19:00:00+00:00,765
2021-04-13T20:00:00+00:00,768
2021-04-13T21:00:00+00:00,769
2021-04-13T22:00:00+00:00,770
2021-04-13T23:00:00+00:00,772
2021-04-14T00:00:00+00:00,773
2021-04-14T02:00:00+00:00,774
2021-04-14T03:00:00+00:00,777
2021-04-14T04:00:00+00:00,780
2021-04-14T05:00:00+00:00,785
2021-04-14T06:00:00+00:00,785
2021-04-14T07:00:00+00:00,786
2021-04-14T08:00:00+00:00,791
2021-04-14T09:00:00+00:00,796
2021-04-14T10:00:00+00:00,799
2021-04-14T11:00:00+00:00,802
2021-04-14T12:00:00+00:00,804
2021-04-14T13:00:00+00:00,803
2021-04-14T14:00:00+00:00,805
2021-04-14T15:00:00+00:00,806
2021-04-14T16:00:00+00:00,807
2021-04-14T17:00:00+00:00,809
2021-04-14T18:00:00+00:00,812
2021-04-14T20:00:00+00:00,814
2021-04-14T21:00:00+00:00,817
2021-04-14T22:00:00+00:00,819
2021-04-15T00:00:00+00:00,819
2021-04-15T01:00:00+00:00,821
2021-04-15T02:00:00+00:00,824
2021-04-15T04:00:00+00:00,828
2021-04-15T05:00:00+00:00,833
2021-04-15T06:00:00+00:00,837
2021-04-15T07:00:00+00:00,839
2021-04-15T08:00:00+00:00,839
2021-04-15T09:00:00+00:00,840
2021-04-15T10:00:00+00:00,847
2021-04-15T11:00:00+00:00,848
2021-04-15T12:00:00+00:00,850
2021-04-15T13:00:00+00:00,854
2021-04-15T14:00:00+00:00,859
2021-04-15T15:00:00+00:00,863
2021-04-15T16:00:00+00:00,865
2021-04-15T17:00:00+00:00,871
2021-04-15T18:00:00+00:00,874
2021-04-15T19:00:00+00:00,877
2021-04-15T20:00:00+00:00,878
2021-04-15T21:00:00+00:00,885
2021-04-15T22:00:00+00:00,887
2021-04-15T23:00:00+00:00,886
2021-04-16T00:00:00+00:00,887
2021-04-16T01:00:00+00:00,888
2021-04-16T02:00:00+00:00,889
2021-04-16T04:00:00+00:00,889
2021-04-16T05:00:00+00:00,889
2021-04-16T06:00:00+00:00,891
2021-04-16T07:00:00+00:00,893
2021-04-16T08:00:00+00:00,896
2021-04-16T09:00:00+00:00,898
2021-04-16T10:00:00+00:00,902
2021-04-16T11:00:00+00:00,906
2021-04-16T12:00:00+00:00,907
2021-04-16T13:00:00+00:00,910
2021-04-16T14:00:00+00:00,911
2021-04-16T15:00:00+00:00,912
2021-04-16T16:00:00+00:00,914
2021-04-16T17:00:00+00:00,916
2021-04-16T18:00:00+00:00,920
2021-04-16T19:00:00+00:00,922
2021-04-16T22:00:00+00:00,923
2021-04-16T23:00:00+00:00,926
2021-04-17T00:00:00+00:00,927
2021-04-17T01:00:00+00:00,927
2021-04-17T02:00:00+00:00,928
2021-04-17T05:00:00+00:00,931
