date,frax_rfv,treasury_rfv,dai_rfv
2021-06-28T00:00:00+00:00,1270781.7011705124992340353010651217116972651837033042371377755994362725217225087648,8631188.2757113484426752640234736540171132225355127325269683569215564700928924041000,7360406.5745408359434412287224085323054159573518094282898305813221201975711698953352
2021-06-27T00:00:00+00:00,1147715.2408497036783181133119174230115525995225085408591150528118888638568055279460,8394376.1879248617365755658190250063110248124043152695606095963809924498616050403504,7246660.9470751580582574525071075832994722128818067287014945435691035860047995124044
2021-06-26T00:00:00+00:00,918032.3231415762703366352503459336133534051190740905728288769191925657499858309770,7966370.1171085880220357162693777686230566858126045764717220987282847273423461031642,7048337.7939670117516990810190318350097032806935304858988932218090921615923602721872
2021-06-25T00:00:00+00:00,783441.780245649447892834904500519917985696002152155685920830484049016101007728,7739862.8691486613870943075615588747942643552170093960841693487830329618674207670554,6956421.0889030119392014726570583548762786592148572403982485182989839457664130390554
2021-06-24T00:00:00+00:00,724750.796948238123345491831922031161024804731828381771871358850948884570984874,7543488.6071698139233356253995280909413259177161549314237190646192370126542284467580,6818737.8102215757999901335676060597803011129843265496518477057682881280832435727580
2021-06-23T00:00:00+00:00,528460.822149884370901062909697448432947556735611629184752507138597170182446866,7186274.3406870099099487593978210073502701998498439090998262592046500946921722793280,6657813.5185371255390476964881235589173226431142322799150737520660529245097254133280
2021-06-22T00:00:00+00:00,369408.634514903980287841607616415088782462990858494490676960732538565064991296,6883000.9279683353294047922445821402573925995602213906480755922895065344149253815720,6513592.2934534313491169506369657251686101365693628961573986315569679693499340855720
2021-06-21T00:00:00+00:00,306799.121562217411040755995202059575980273956023066610880060553355172796472320,6802991.9129122343494961413220922342164516756650649319086757201661909596451116097608,6496192.7913500169384553853268901746404714017090418652977956596128357868486392897608
2021-06-20T00:00:00+00:00,63968.354028243022441299015779610004203699276225342428920955919143675356440760,6441569.1192989816931684807891040095010476397138391145454373274328922316103689905398,6377600.7652707386707271817733243994968439404376137721165163715137485562539282305398
2021-06-19T00:00:00+00:00,53027.039277588631354667231580377792839262082939613559146151419882465874623800,6283796.1792030109405372467299327647516440560269180440025237485545328213935442239552,6230769.1399254223091825794983523869588047939439784304433775971346503555189204239552
2021-06-18T00:00:00+00:00,45133.752682260544083894189502816522525632444294911000825972010954084241244280,6094319.8205082497356674695371283744331617047326004683490528136393405570529428945122,6049186.0678259891915835753476255579106360722883055573482268416283864728116986145122
2021-06-17T00:00:00+00:00,36835.948497539913523593517326965337556966145696346718825251374770786498331500,5937352.8355452495709911600850597321236550367899818993459918937496665394324625619956,5900516.8870477096574675665677327667860980706442855526271666423748957529341310619956
