date,treasury_rfv,ohm_staked_amount,10k_apy,20k_apy,50k_apy,70k_apy,100k_apy
2021-06-28T00:00:00+00:00,8631188.2757113484426752640234736540171132225355127325269683569215564700928924041000,424391.4573311070000000000000000000,238.7655267492963422575186337598644153680949157961852883673282139259029086366251,207.5292620721003260020786727026196605628820047897987735281628758386227067345029,176.9307156558919123846797814436915305223484719439279251324995876141912389642631,167.8435168628793682823805175774740387276495099675187238100449713980345836291643,159.1770441858601389327452887245000280435851939026686799379752223483083438521488
2021-06-27T00:00:00+00:00,8394376.1879248617365755658190250063110248124043152695606095963809924498616050403504,418923.1967742960000000000000000000,237.5884128147653694321442886650709202645962109690995268822596268316626939605693,206.5061429077307596960216570636489447287716722380360919287634922613660210679467,176.0584473109571405159528723558950039201191482036769276340232523726579311376875,167.0160484037184736381803575696882807232388031465429856604538106297714408129498,158.3923014329192329419562456936616233272846244591360669054183400904254166535772
2021-06-26T00:00:00+00:00,7966370.1171085880220357162693777686230566858126045764717220987282847273423461031642,409586.9593792170000000000000000000,235.2269243175237951815706856125625387379013836322597690486735703807749281872776,204.4535938153365356521115762254476238222643262100456354713948520894698021540821,174.3085303295630087978051054902975021427584064821749611160485040841472976145190,165.3560075267771380233933642140561299775266785895373900821522862750266453068466,156.8179755074496328380339312697434080119362033297924048378418370385944379150972
2021-06-25T00:00:00+00:00,7739862.8691486613870943075615588747942643552170093960841693487830329618674207670554,400090.9425598250000000000000000000,234.7999084370052060534819912877279773369157800283674276250318080874080238428304,204.0824418664618552867669678155102649362425134454555979517712976801867803345930,173.9921017966621323730092368291912513792347147690294979241239750954622419721979,165.0558308299217561670464648758898888414041275999041348937625034581331612504347,156.5332982066400353288901928706655802097543153153059036976755212050412156352742
2021-06-24T00:00:00+00:00,7543488.6071698139233356253995280909413259177161549314237190646192370126542284467580,391419.3176634440000000000000000000,234.4997755895174999888210461924300163144729921029443049022285336124851739708514,203.8215736028949690264863785813768131281294494270800163355680775732182376572615,173.7696964929283219298213387699615931919974117837591124255039349085513279525133,164.8448483093952444645261723308685419457511664480459089084126935755431672250217,156.3332096085220098826677909358605922394179118393666461450537149695436400832415
2021-06-23T00:00:00+00:00,7186274.3406870099099487593978210073502701998498439090998262592046500946921722793280,382321.5772775070000000000000000000,232.5187376742233482945865230822878935239908157375188614570930686485183382480292,202.0997030200887394370514397942608113174840060462161092103614125715042272007614,172.3017020932908817775718886692305151921707923853093478651122199961641681501481,163.4522504110780107276694962773461592507586587211667576127281332716233409038995,155.0125174463417308378043641943332133525257052562750126212810012181701804571208
2021-06-22T00:00:00+00:00,6883000.9279683353294047922445821402573925995602213906480755922895065344149253815720,370927.5613914320000000000000000000,231.4992450499728668627407765002912622134417744448131828692506293636316177983281,201.2135845134552227147351844208725879553947828897122869188963024280949157077718,171.5462347439195488983291243689345737216807322499857875523333493282805557466716,162.7355840237664215447150764480792483181490879287377793126266431784343146158413,154.3328555843181100430001611818987518595636259354691445460448324936170669811620
2021-06-21T00:00:00+00:00,6802991.9129122343494961413220922342164516756650649319086757201661909596451116097608,361313.2378317750000000000000000000,232.6539880274472857433122071251638301833590277090346569669031372487001344082087,202.2172593791733005145847734593757256448705003478407039372580436918013205260179,172.4019256980734509340321921982657763923827810475280012159882182730517972034111,163.5473265104258376942416692774236461895584891846704951660467748095535836553222,155.1026843634188558722259291410654884242019498856316526921479016439387688457842
2021-06-20T00:00:00+00:00,6441569.1192989816931684807891040095010476397138391145454373274328922316103689905398,351640.6405424950000000000000000000,230.4779538213619992196295144206194216302687144067192114709715193206614264859920,200.3259027031038181987598468744689396820836526268734881900620784478206946597895,170.7894345875848427861083507823839745376630970049100556025920248400357353700356,162.0176532827376011908111205190217513697593683803284613193999472693090491877528,153.6519946525223831273585638884745837592636729698244672808905299808522222802758
2021-06-19T00:00:00+00:00,6283796.1792030109405372467299327647516440560269180440025237485545328213935442239552,348593.2635939910000000000000000000,229.2023681015663978286708461284253876977927544390540948576227343943174121833006,199.2171942277096824117118083869373439003278954447275951015847946898028819777617,169.8441963978153186590439842996868142157552666554730853532025428391152032017171,161.1209627253299368026203847511779630679072356776017111640001985852372821156500,152.8016040318698770734825045294977800923629448445373130634377292724702154205465
