date_trunc,sum
2021-02-06T00:00:00+00:00,8767223981.624653847868708927000000000000000000
2021-02-07T00:00:00+00:00,9981746219.716084664416602698000000000000000000
2021-02-08T00:00:00+00:00,18380102234.685564255944811054000000000000000000
2021-02-09T00:00:00+00:00,15691926690.246074075558175335000000000000000000
2021-02-10T00:00:00+00:00,12684180336.111839590389407189000000000000000000
2021-02-11T00:00:00+00:00,10382167351.574441721143387100000000000000000000
2021-02-12T00:00:00+00:00,10192967985.639399550979028772000000000000000000
2021-02-13T00:00:00+00:00,8900973129.770722216937188725000000000000000000
2021-02-14T00:00:00+00:00,8547036059.166772273579599210000000000000000000
2021-02-15T00:00:00+00:00,12006062002.839237057990350092000000000000000000
2021-02-16T00:00:00+00:00,12804235505.575118173779887509000000000000000000
2021-02-17T00:00:00+00:00,13255109567.343766707480548861000000000000000000
2021-02-18T00:00:00+00:00,14324644213.488200903908424817000000000000000000
2021-02-19T00:00:00+00:00,14269452632.610260285465082562000000000000000000
2021-02-20T00:00:00+00:00,12664829350.270125889819446577000000000000000000
2021-02-21T00:00:00+00:00,9176292791.606534271367247444000000000000000000
2021-02-22T00:00:00+00:00,18340670669.467943369802163882000000000000000000
2021-02-23T00:00:00+00:00,23499500380.794796019878849451000000000000000000
2021-02-24T00:00:00+00:00,15951133586.469342707290695215000000000000000000
2021-02-25T00:00:00+00:00,13414322246.095167343124306720000000000000000000
2021-02-26T00:00:00+00:00,14679727115.080331766703001118000000000000000000
2021-02-27T00:00:00+00:00,7179080873.155370639623017188000000000000000000
2021-02-28T00:00:00+00:00,12173919913.798806091119732446000000000000000000
2021-03-01T00:00:00+00:00,15424590948.744454906848947908000000000000000000
2021-03-02T00:00:00+00:00,14355904756.606590811435367453000000000000000000
2021-03-03T00:00:00+00:00,12319710672.689889929465517901000000000000000000
2021-03-04T00:00:00+00:00,12057404127.056493177500189190000000000000000000
2021-03-05T00:00:00+00:00,14348727460.537323630812379391000000000000000000
2021-03-06T00:00:00+00:00,9134023453.589192572750539199000000000000000000
2021-03-07T00:00:00+00:00,15409996937.350505159375111544000000000000000000
2021-03-08T00:00:00+00:00,17337581583.380883946812653207000000000000000000
2021-03-09T00:00:00+00:00,15633890264.683723522651140711000000000000000000
2021-03-10T00:00:00+00:00,14000254924.552062868202058378000000000000000000
2021-03-11T00:00:00+00:00,11960627560.229609714516125435000000000000000000
2021-03-12T00:00:00+00:00,17150597287.805065752394072420000000000000000000
2021-03-13T00:00:00+00:00,10025742733.240980889460387642000000000000000000
2021-03-14T00:00:00+00:00,7756214598.516691223708771807000000000000000000
2021-03-15T00:00:00+00:00,16760022012.612055910505325014000000000000000000
2021-03-16T00:00:00+00:00,14886979743.311113016830288436000000000000000000
2021-03-17T00:00:00+00:00,12551340435.293606819358736048000000000000000000
